Band,ATY or Chick,Site,Burrow,Date Measured,New Band or Recapture,Mass (g),Wing Chord (mm),Tarsus Length (mm),Notes,
790111394,ATY,Shire,655,16-Jun,Recapture,50.6,159,23.9,,
790178769,ATY,Shire,815,10-Jun,Recapture,49.1,158,25.1,,
790110795,ATY,Shire,813A,16-Jun,Recapture,41.3,155,23.7,,
140167803,ATY,Shire,803A,17-Jun,Recapture,54.6,165,24,,
246109453,ATY,Shire,670,14-Jun,New Band,50.2,166,24.8,,
140176361,ATY,Shire,670,15-Jun,Recapture,46.3,158,23.4,"double-banded (R:140176361 L:140176362), PIT tag",
140180287,ATY,Shire,623,18-Jun,Recapture,48.5,160,24.4,"double-banded (R:140180387 L:140180388), PIT tag",
140163385,ATY,Shire,697,16-Jun,Recapture,44.2,156,24.2,,
140163391,ATY,Shire,697,18-Jun,Recapture,52.6,167,26.3,,
140167012,ATY,Shire,513,16-Jun,Recapture,53.7,161,24.9,,
246109312,ATY,Shire,971,18-Jun,Recapture,59.1,165,24.9,,
246109158,ATY,Shire,155,18-Jun,Recapture,56.6,162,24.3,,
790118791,ATY,Shire,952,16-Jun,Recapture,51.2,155,23.9,,
246109462,ATY,Shire,825,16-Jun,New Band,51.8,162,24,,
246109172,ATY,Shire,901,11-Jun,Recapture,49.7,161,22.9,,
246108905,ATY,Shire,901,14-Jun,Recapture,48,161,23.5,,
246109172,ATY,Shire,273,14-Jun,Recapture,44.8,162,25,,
790118897,ATY,Shire,185,16-Jun,Recapture,53.6,165,23.6,,
246109026,ATY,Shire,953,14-Jun,Recapture,53.8,165,25.7,,
246109463,ATY,Shire,841,16-Jun,New Band,51.9,165,24.8,,
246109042,ATY,Shire,934,18-Jun,Recapture,47.6,160,24.4,,
246109029,ATY,Shire,165,16-Jun,Recapture,55.3,161,24.7,,
246109187,ATY,Shire,166,18-Jun,Recapture,42.4,163,24.4,,
790111098,ATY,Shire,610,10-Jun,Recapture,42.1,157,23.8,,
140163351,ATY,Shire,610,11-Jun,Recapture,56.1,152,23.1,,
246108831,ATY,Shire,163,10-Jun,Recapture,52.4,162,24.6,,
140167085,ATY,Shire,163,14-Jun,Recapture,53,166,24.4,,
140163372,ATY,Shire,725,10-Jun,Recapture,50.2,160,24.5,,
140163438,ATY,Shire,752,10-Jun,Recapture,54.7,159,25.1,,
140163454,ATY,Shire,752,14-Jun,Recapture,47.7,159,23.5,,
790110447,ATY,Shire,742,15-Jun,Recapture,45.5,162,23,,
140181556,ATY,Shire,742,17-Jun,Recapture,49.8,163,23.7,,
140167106,ATY,Shire,501,18-Jun,Recapture,52.9,166,24.5,,
790111303,ATY,Shire,760,10-Jun,Recapture,43.9,158,22.7,,
246108709,ATY,Shire,760,11-Jun,Recapture,53.3,159,24.1,,
246109464,ATY,Shire,661,16-Jun,New Band,45.9,157,23,,
246108721,ATY,Shire,679,17-Jun,Recapture,47.9,159,22.8,,
246108703,ATY,Shire,681,14-Jun,Recapture,47.7,161,23.9,,
790118881,ATY,Shire,624,16-Jun,Recapture,49.2,160,24.6,,
246109147,ATY,Shire,789,16-Jun,Recapture,43.6,158,23.3,,
140176131,ATY,Shire,789,17-Jun,Recapture,44.7,155,24.2,,
790110881,ATY,Shire,688,14-Jun,Recapture,48.8,160,24.6,,
